Module	Section	Sample Name	Source
Kallisto	all_sections	SRR8668769	/Users/jknowlt/Desktop/Course_dataset/CL08.log
Kallisto	all_sections	SRR8668771	/Users/jknowlt/Desktop/Course_dataset/CL10.log
Kallisto	all_sections	SRR8668772	/Users/jknowlt/Desktop/Course_dataset/CL11.log
Kallisto	all_sections	SRR8668773	/Users/jknowlt/Desktop/Course_dataset/CL12.log
Kallisto	all_sections	SRR8668774	/Users/jknowlt/Desktop/Course_dataset/CL13.log
Kallisto	all_sections	SRR8668755	/Users/jknowlt/Desktop/Course_dataset/HS01.log
Kallisto	all_sections	SRR8668756	/Users/jknowlt/Desktop/Course_dataset/HS02.log
Kallisto	all_sections	SRR8668757	/Users/jknowlt/Desktop/Course_dataset/HS03.log
Kallisto	all_sections	SRR8668758	/Users/jknowlt/Desktop/Course_dataset/HS04.log
Kallisto	all_sections	SRR8668759	/Users/jknowlt/Desktop/Course_dataset/HS05.log
FastQC	all_sections	fastqc | SRR8668755	/Users/jknowlt/Desktop/Course_dataset/fastqc/SRR8668755_fastqc.zip
FastQC	all_sections	fastqc | SRR8668755_1M_subsample	/Users/jknowlt/Desktop/Course_dataset/fastqc/SRR8668755_1M_subsample_fastqc.zip
FastQC	all_sections	fastqc | SRR8668756	/Users/jknowlt/Desktop/Course_dataset/fastqc/SRR8668756_fastqc.zip
FastQC	all_sections	fastqc | SRR8668757	/Users/jknowlt/Desktop/Course_dataset/fastqc/SRR8668757_fastqc.zip
FastQC	all_sections	fastqc | SRR8668758	/Users/jknowlt/Desktop/Course_dataset/fastqc/SRR8668758_fastqc.zip
FastQC	all_sections	fastqc | SRR8668759	/Users/jknowlt/Desktop/Course_dataset/fastqc/SRR8668759_fastqc.zip
FastQC	all_sections	fastqc | SRR8668769	/Users/jknowlt/Desktop/Course_dataset/fastqc/SRR8668769_fastqc.zip
FastQC	all_sections	fastqc | SRR8668771	/Users/jknowlt/Desktop/Course_dataset/fastqc/SRR8668771_fastqc.zip
FastQC	all_sections	fastqc | SRR8668772	/Users/jknowlt/Desktop/Course_dataset/fastqc/SRR8668772_fastqc.zip
FastQC	all_sections	fastqc | SRR8668773	/Users/jknowlt/Desktop/Course_dataset/fastqc/SRR8668773_fastqc.zip
FastQC	all_sections	fastqc | SRR8668774	/Users/jknowlt/Desktop/Course_dataset/fastqc/SRR8668774_fastqc.zip
